"Hospital Location & Address, Phone, Fax","Hospital Name,
Health Authority Address",Hosp Code No.,Health Authority Telephone,Health Authority Fax
"CHETWYND
Box 507 V0C 1J0
Ph: (250) 788-2236
Fax: (250) 788-2145",Chetwynd General Hospital Northern Health Authority Suite 600 - 299 Victoria St Prince George BC  V2L 5B8,716,(250) 565-2649,(250) 565-2640
"CHILLIWACK
45600 Menholm Rd V2P 1P7
Ph:  (604) 795-4141
Fax:  (604) 795-4110","Chilliwack General Hospital Fraser Health Authority Suite 400 Central City Tower 13450 - 102 Avenue
Surrey BC  V3T 0H1",601,(604) 587-460,(604) 587-4666
"CLEARWATER RR#1
640 Park Drive V0E 1N0
Ph:  (250) 674-2244
Fax:  (250) 674-2477","Dr. Helmcken Memorial Hospital
Interior Health Authority Community Health and Services Centre
5th Floor 505 Doyle Avenue Kelowna, BC, V1Y 6V8",419,(250) 862-4200,(250) 862-4201
"COMOX
2137 Comox Ave V9M 1P2
Ph:  (250) 339-2242","St. Joseph’s General Hospital
Jane Murphy
Chief Executive Officer",502,(250) 339-2242,(250) 339-1432
"COURTENAY
101 Lerwick Road V9N 0B8
Ph:  (250) 331-5900","North Island Hospital, Comox Valley
Vancouver Island Health Authority, 1952 Bay Street Victoria BC  V8R 1J8",503,(250) 370-8699,(250) 370-8750
"Hospital Location &
Address, Phone, Fax","Hospital Name,
Health Authority Address","Hosp
Code No.","Health Authority
Telephone","Health Authority
Fax"
"CRANBROOK
13 - 24th Ave N V1C 3H9
Ph:  (250) 426-5281
Fax:  (250) 426-5285","East Kootenay Regional Hospital
Interior Health Authority Community Health and Services Centre
5th Floor 505 Doyle Avenue Kelowna, BC, V1Y 6V8",756,(250) 862-4200,(250) 862-4201
"CRESTON
312 - 15th Ave V0B 1G0
Ph:  (250) 428-2286
Fax:  (250) 428-5959","Creston Valley Hospital Interior Health Authority Community Health and Services Centre
5th Floor 505 Doyle Avenue
Kelowna, BC, V1Y 6V8",654,(250) 862-4200,(250) 862-4201
"DAWSON CREEK 11100 - 13th St V1G 3W8
Ph:  (250) 784-7350
Fax:  (250) 784-7301","Dawson Creek and District Hospital
Northern Health Authority Suite 600 - 299 Victoria St Prince George BC  V2L 5B8",704,(250) 565-2649,(250) 565-2640
"DELTA
5800 Mountain View Blvd V4K 3V6
Ph:  (604) 946-1121
Fax;  (604) 946-3086","Delta Hospital
Fraser Health Authority Suite 400 Central City Tower 13450 - 102 Avenue
Surrey BC  V3T 0H1",134,(604) 587-4600,(604) 587-4666
"DUNCAN
3045 Gibbins Rd V9L 1E5
Ph:  (250) 737-2030
Fax:  (250) 715-1212","Cowichan District Hospital Vancouver Island Health Authority
1952 Bay Street Victoria BC  V8R 1J8",203,(250) 370-8699,(250) 370-8750
"FERNIE
(1501 - 5th Ave) Box 670
V0B 1M0
Ph:  (250) 423-4453
Fax:  (250) 423-3732","Elk Valley Hospital Interior Health Authority Community Health and Services Centre
5th Floor 505 Doyle Avenue Kelowna, BC, V1Y 6V8",753,(250) 862-4200,(250) 862-4201
"FORT NELSON
Box 60 V0C 1R0
Ph:  (250) 774-6916
Fax:  (250) 774-3731",Fort Nelson General Hospital Northern Health Authority Suite 600 - 299 Victoria St Prince George BC  V2L 5B8,714,(250) 565-2649,(250) 565-2640
"Hospital Location &
Address, Phone, Fax","Hospital Name,
Health Authority Address","Hosp
Code No.","Health Authority
Telephone","Health Authority
Fax"
"FORT ST. JAMES
(Stuart Dr) V0J 1P0
Ph:  (250) 996-8201
Fax:  (250) 996-8777",Stuart Lake Hospital Northern Health Authority Suite 600 - 299 Victoria St Prince George BC  V2L 5B8,717,(250) 565-2649,(250) 565-2640
"FORT ST. JOHN 8407 112 Ave V1J 0J5
Ph: (250) 262-5200
Fax:  (250) 261-7650",Fort St. John General Hospital Northern Health Authority Suite 600 - 299 Victoria St Prince George BC  V2L 5B8,701,(250) 565-2649,(250) 565-2640
"GOLDEN
(835 9th Ave)
Box 1260 V0A 1H0
Ph:  (250) 344-5271
Fax:  (250) 344-2511","Golden and District General Hospital
Interior Health Authority Community Health and Services Centre
5th Floor 505 Doyle Avenue Kelowna, BC, V1Y 6V8",409,(250) 862-4200,(250) 862-4201
"GRAND FORKS (7649 - 22nd St) Box 2647
V0H 1H0
Ph:  (250) 443-2100
Fax:  (250) 442-8331","Boundary Hospital Interior Health Authority Community Health and Services Centre
5th Floor 505 Doyle Avenue Kelowna, BC, V1Y 6V8",803,(250) 862-4200,(250) 862-4201
"HAZELTON PO Bag 999 V0J 1Y0
Ph:  (250) 842-5211
Fax:  (250) 842-5865",Wrinch Memorial Hospital Northern Health Authority Suite 600 - 299 Victoria St Prince George BC  V2L 5B8,901,(250) 565-2649,(250) 565-2640
"HOPE
(1275 - 7th Ave) V0X 1L4
Ph:  (604) 869-5656
Fax:  (604) 869-7732","Fraser Canyon Hospital Fraser Health Authority Suite 400 Central City Tower 13450 - 102 Avenue
Surrey BC  V3T 0H1",606,(604) 587-4600,(604) 587-4666
"INVERMERE
(850 10th Ave)
Bag 5001 V0A 1K0
Ph:  (250) 342-9201
Fax:  (250) 342-2319","Invermere and District Hospital Interior Health Authority Community Health and Services Centre
5th Floor 505 Doyle Avenue Kelowna, BC, V1Y 6V8",755,(250) 862-4200,(250) 862-4201
"KAMLOOPS
311 Columbia St V2C 2T1
Ph:  (250) 374-5111
Fax:  (250) 374-2333","Royal Inland Hospital Interior Health Authority Community Health and Services Centre
5th Floor 505 Doyle Avenue Kelowna, BC, V1Y 6V8",401,(250) 862-4200,(250) 862-4201
"Hospital Location &
Address, Phone, Fax","Hospital Name,
Health Authority Address","Hosp
Code No.","Health Authority
Telephone","Health Authority
Fax"
"KASLO 673 A Ave
Box 607 V0G 1M0
Ph:  (250) 353-2211
Fax:  (250) 353-7772","Victorian Community Health Centre of Kaslo
Interior Health Authority Community Health and Services Centre
5th Floor 505 Doyle Avenue Kelowna, BC, V1Y 6V8",653,(250) 862-4200,(250) 862-4201
"KELOWNA
2268 Pandosy St V1Y 1T2
Ph:  (250) 862-4000
Fax:  (250) 862-4020","Kelowna General Hospital Interior Health Authority Community Health and Services Centre
5th Floor 505 Doyle Avenue
Kelowna, BC, V1Y 6V8",302,(250) 862-4200,(250) 862-4201
"KITIMAT
920 Lahakas Blvd South V8C 2S3
Ph:  (250) 632-2121
Fax:  (250) 632-8700",Kitimat General Hospital Northern Health Authority Suite 600 - 299 Victoria St Prince George BC  V2L 5B8,917,(250) 565-2649,(250) 565-2640
"LADYSMITH
(1111 - 4th Ave) Box 10
V9G 1A1
Ph:  (250) 739-5777
Fax:  (250) 740-2689","Ladysmith Community Health Centre
Vancouver Island Health Authority
1952 Bay Street Victoria BC V8R 1J8",506,(250) 370-8699,(250) 370-8750
"LANGLEY
22051 Fraser Hwy V3A 4H4
Ph:  (604) 534-4121
Fax:  (604) 534-8283","Langley Memorial Hospital Fraser Health Authority Suite 400 Central City Tower 13450 - 102 Avenue
Surrey BC  V3T 0H1",115,(604) 587-4600,(604) 587-4666
"LILLOOET
(951 Murray St)
Box 249 V0K 1V0
Ph:  (250) 256-4233
Fax:  (250) 256-1336","Lillooet Hospital and Health Centre
Interior Health Authority Community Health and Services Centre
5th Floor 505 Doyle Avenue Kelowna, BC, V1Y 6V8",417,(250) 862-4200,(250) 862-4201
"LYTTON
(844 Main St)
Box 99 V0K 1Z0
Ph:  (250) 455-2221
Fax:  (250) 455-6621","St. Bartholomew's Health Centre
Interior Health Authority Community Health and Services Centre
5th Floor 505 Doyle Avenue Kelowna, BC, V1Y 6V8",405,(250) 862-4200,(250) 862-4201
"MACKENZIE
45 Centennial Dr
Box 249 V0J 2C0
Ph:  (250) 997-3263
Fax:  (250) 997-3940","Mackenzie and District Hospital
Northern Health Authority Suite 600 - 299 Victoria St Prince George BC  V2L 5B8",715,(250) 565-2649,(250) 565-2640
"Hospital Location &
Address, Phone, Fax","Hospital Name,
Health Authority Address","Hosp
Code No.","Health Authority
Telephone","Health Authority
Fax"
"MAPLE RIDGE
(11666 Laity St)
Box 5000 V2X 7G5
Ph:  (604) 463-4111
Fax:  (604) 463-1888","Ridge Meadows Hospital & Health Care Centre
Fraser Health Authority Suite 400 Central City Tower 13450 - 102 Avenue
Surrey BC  V3T 0H1",604,(604) 587-4600,(604) 587-4666
"MASSET
(2520 Harrison Ave)
Box 319 Masset BC V0T 1M0
Ph:  (250) 626-4700
Fax: (250) 626-4709","Northern Haida Gwaii Hospital and Health Centre
Northern Health Authority Suite 600 - 299 Victoria St Prince George BC  V2L 5B8",918,(250) 565-2649,(250) 565-2640
"MCBRIDE
(594 King St)
Box 669 V0J 2E0
Ph:  (250) 569-2251
Fax:  (250) 569-3369",McBride and District Hospital Northern Health Authority Suite 600 - 299 Victoria St Prince George BC  V2L 5B8,713,(250) 565-2649,(250) 565-2640
"MERRITT
3451 Voght St V1K 1C6
Ph: (250) 378-2242
Fax: (250) 378-3287","Nicola Valley Hospital and Health Centre
Interior Health Authority Community Health and Services Centre
5th Floor 505 Doyle Avenue
Kelowna, BC, V1Y 6V8",403,(250) 862-4200,(250) 862-4201
"MISSION
7324 Hurd St V2V 3H5
Ph:  (604) 826-6261
Fax:  (604) 826-9513","Mission Memorial Hospital Fraser Health Authority Suite 400 Central City Tower 13450 - 102 Avenue
Surrey BC  V3T 0H1",602,(604) 587-4600,(604) 587-4666
"NAKUSP
97 – 1st Ave Box 87 V0G 1R0
Ph:  (250) 265-3622
Fax:  (250) 265-4435","Arrow Lakes Hospital Interior Health Authority Community Health and Services Centre
5th Floor 505 Doyle Avenue Kelowna, BC, V1Y 6V8",655,(250) 862-4200,(250) 862-4201
"NANAIMO
1200 Dufferin Cres V9S 2B7
Ph:  (250) 755-7691
Fax:  (250) 755-7633","Nanaimo Regional General Hospital
Vancouver Island Health Authority
1952 Bay Street Victoria BC  V8R 1J8",501,(250) 370-8699,(250) 370-8750
"Hospital Location &
Address, Phone, Fax","Hospital Name,
Health Authority Address","Hosp
Code No.","Health Authority
Telephone","Health Authority
Fax"
"NELSON
3 View St V1L 2V1
Ph:  (250) 352-3111
Fax:  (250) 354-2320","Kootenay Lake Hospital Interior Health Authority Community Health and Services Centre
5th Floor 505 Doyle Avenue Kelowna, BC, V1Y 6V8",651,(250) 862-4200,(250) 862-4201
"NEW DENVER
401 Galena Ave
Box 129 V0G 1S0
Ph:  (250) 358-7911
Fax:  (250) 358-7117","Slocan Community Health Centre
Interior Health Authority Community Health and Services Centre
5th Floor 505 Doyle Avenue Kelowna, BC, V1Y 6V8",652,(250) 862-4200,(250) 862-4201
"NEW WESTMINSTER
330 E. Columbia St V3L 3W7
Ph:  (604) 520-4253","Royal Columbian Hospital Fraser Health Authority Suite 400 Central City Tower 13450 - 102 Avenue
Surrey BC  V3T 0H1",109,(604) 587-4600,(604) 587-4666
"NORTH VANCOUVER 231 E 15th St
V7L 2L7
Ph:  (604) 988-3131
Fax:  (604) 984-5838","Lions Gate Hospital Vancouver Coastal Health Authority
11th floor - 601 W Broadway Vancouver BC  V5Z 4C2",112,(604) 736-2033,(604) 875-4750
"OLIVER
7139 362nd Ave, RR#3
Box 760 V0H 1T0
Ph:  (250) 498-5000
Fax:  (250) 498-5004","South Okanagan General Hospital
Interior Health Authority Community Health and Services Centre
5th Floor 505 Doyle Avenue Kelowna, BC, V1Y 6V8",309,(250) 862-4200,(250) 862-4201
"100 MILE HOUSE
555 Cedar Ave
Box 399 V0K 2E0
Ph:  (250) 395-7600
Fax:  (250) 395-7607","100 Mile District General Hospital
Interior Health Authority Community Health and Services Centre
5th Floor 505 Doyle Avenue Kelowna, BC, V1Y 6V8",708,(250) 862-4200,(250) 862-4201
"PENTICTON
550 Carmi Ave V2A 3G6
Ph: (250) 492-4000
Fax:  (250) 492-9068","Penticton Regional Hospital Interior Health Authority Community Health and Services Centre
5th Floor 505 Doyle Avenue
Kelowna, BC, V1Y 6V8",303,(250) 862-4200,(250) 862-4201
"Hospital Location &
Address, Phone, Fax","Hospital Name,
Health Authority Address","Hosp
Code No.","Health Authority
Telephone","Health Authority
Fax"
"PORT ALBERNI
3949 Port Alberni Hwy V9Y 4S1
Ph:  (250) 731-1370
Fax:  (250) 724-8805","West Coast General Hospital Vancouver Island Health Authority
1952 Bay Street Victoria BC  V8R 1J8",851,(250) 370-8699,(250) 370-8750
"PORT ALICE
(1090 Marine Dr)
Box 69 V0N 2N0
Ph:  (250) 284-3555
Fax:  (250) 284-6163","Port Alice Hospital Vancouver Island Health Authority
1952 Bay Street Victoria BC  V8R 1J8",859,(250) 370-8699,(250) 370-8750
"PORT HARDY
9120 Granville St V0N 2P0
Ph:  (250) 902-6011","Port Hardy Hospital Vancouver Island Health Authority
1952 Bay Street Victoria BC  V8R 1J8",510,(250) 370-8699,(250) 370-8750
"PORT MCNEILL
Box 790
2750 Kingcome Pl V0N 2R0
Ph:  (250) 956-4461
Fax:  (250) 956-4823","Port McNeill and District Hospital
Vancouver Island Health Authority
1952 Bay Street Victoria BC  V8R 1J8",511,(250) 370-8699,(250) 370-8750
"PORT MOODY
475 Guildford Way V3H 3W9
Ph:  (604) 461-2022
Fax:  (604) 461-9972","Eagle Ridge Hospital & Health Care Centre
Fraser Health Authority Suite 400 Central City Tower 13450 - 102 Avenue
Surrey BC  V3T 0H1",136,(604) 587-4600,(604) 587-4666
"POWELL RIVER
5000 Joyce Ave V8A 5R3
Ph:  (604) 485-3211
Fax:  (604) 485-3245","Powell River General Hospital Vancouver Coastal Health Authority
11th floor - 601 W Broadway Vancouver BC  V5Z 4C2",111,(604) 736-2033,(604) 875-4750
"PRINCE GEORGE
1475 Edmonton Street V2M 1S2
Ph:  (250) 565-2000
Fax:  (250) 565-2343",The University Hospital of Northern British Columbia Northern Health Authority Suite 600 - 299 Victoria St Prince George BC  V2L 5B8,703,(250) 565-2649,(250) 565-2640
"Hospital Location &
Address, Phone, Fax","Hospital Name,
Health Authority Address","Hosp
Code No.","Health Authority
Telephone","Health Authority
Fax"
"PRINCE RUPERT
1305 Summit Ave V8J 2A6
Ph:  (250) 624-2171
Fax:  (250) 624-2195","Prince Rupert Regional Hospital
Northern Health Authority Suite 600 - 299 Victoria St Prince George BC  V2L 5B8",902,(250) 565-2649,(250) 565-2640
"PRINCETON
(98 Ridgewood)
Box 610 V0X 1W0
Ph:  (250) 295-3233
Fax:  (250) 295-3344","Princeton General Hospital Interior Health Authority Community Health and Services Centre
5th Floor 505 Doyle Avenue Kelowna, BC, V1Y 6V8",305,(250) 862-4200,(250) 862-4201
"VILLAGE OF
QUEEN CHARLOTTE
Box 9 V0T 1S0
Ph:  (250) 559-4301
Fax: (250) 559-4312","Haida Gwaii Hospital and Health Centre-Xaayda Gwaay Ngaaysdll Naay
Northern Health Authority Suite 600 - 299 Victoria St Prince George BC  V2L 5B8",907,(250) 565-2649,(250) 565-2640
"QUESNEL
(543 Front St)
Box 4000 V2J 2K7
Ph:  (250) 992-0600
Fax:  (250) 992-5652",G.R. Baker Memorial Hospital Northern Health Authority Suite 600 - 299 Victoria St Prince George BC  V2L 5B8,705,(250) 565-2649,(250) 565-2640
"REVELSTOKE
(1200 Newlands Rd)
Box 5000 V0E 2S0
Ph:  (250) 837-2131
Fax:  (250) 814-2285","Queen Victoria Hospital Interior Health Authority Community Health and Services Centre
5th Floor 505 Doyle Avenue Kelowna, BC, V1Y 6V8",402,(250) 862-4200,(250) 862-4201
"RICHMOND
7000 Westminster Hwy V6X 1A2
Ph:  (604) 278-9711
Fax:  (604) 244-5191","Richmond Hospital Vancouver Coastal Health Authority
11th floor - 601 W Broadway Vancouver BC  V5Z 4C2",121,(604) 736-2033,(604) 875-4750
"SAANICHTON
2166 Mt Newton X-Rd V8M 2B2
Ph:  (250) 544-7676
Fax:  (250) 652-7521","Saanich Peninsula Hospital Vancouver Island Health Authority
1952 Bay Street
Victoria BC  V8R 1J8",217,(250) 370-8699,(250) 370-8750
"Hospital Location &
Address, Phone, Fax","Hospital Name,
Health Authority Address","Hosp
Code No.","Health Authority
Telephone","Health Authority
Fax"
"SALMON ARM
601 10th St
Box 520 V1E 4N6
Ph:  (250) 833-3600
Fax:  (250) 833-3611","Shuswap Lake General Hospital
Interior Health Authority Community Health and Services Centre
5th Floor 505 Doyle Avenue Kelowna, BC, V1Y 6V8",404,(250) 862-4200,(250) 862-4201
"SALT SPRING ISLAND
135 Crofton Rd V8K 1T1
Ph:  (250) 538-4800
Fax:  (250) 538-4870","Lady Minto Gulf Islands Hospital
Vancouver Island Health Authority
1952 Bay Street Victoria BC  V8R 1J8",206,(250) 370-8699,(250) 370-8750
"SECHELT Box 7777 V0N 3A0
Ph:  (604) 885-2224
Fax:  (604) 885-8628","Sechelt Hospital/shíshálh Hospital
Vancouver Coastal Health Authority
11th floor - 601 W Broadway Vancouver BC  V5Z 4C2",113,(604) 736-2033,(604) 875-4750
"SMITHERS
3950 8th Ave
Box 370 V0J 2N0
Ph:  (250) 847-2611
Fax:  (250) 847-2446",Bulkley Valley District Hospital Northern Health Authority Suite 600 - 299 Victoria St Prince George BC  V2L 5B8,903,(250) 565-2649,(250) 565-2640
"SPARWOOD
570 Pine Ave
Box 1120 V0B 2G0
Ph:  (250) 425-6212
Fax:  (250) 425-2313","Sparwood Health Centre Interior Health Authority Community Health and Services Centre
5th Floor 505 Doyle Avenue Kelowna, BC, V1Y 6V8",754,(250) 862-4200,(250) 862-4201
"SQUAMISH
38140 Behrner Drive Squamish BC
V8B 0J3
Ph:  (604) 892-5211
Fax:  (604) 892-9417","Squamish General Hospital Vancouver Coastal Health Authority
11th floor - 601 W Broadway Vancouver BC  V5Z 4C2",128,(604) 736-2033,(604) 875-4750
"STEWART
(904 Brightwell St)
Box 8 V0T 1W0
Ph:  (250) 636-2221
Fax:  (250) 636-2715",Stewart General Hospital Northern Health Authority Suite 600 - 299 Victoria St Prince George BC  V2L 5B8,910,(250) 565-2649,(250) 565-2640
"SUMMERLAND
(12815 Atkinson Rd)
Box 869 V0H 1Z0
Ph:  (250) 494-6811
Fax:  (250) 494-8755","Summerland Memorial Health Centre
Interior Health Authority Community Health and Services Centre
5th Floor 505 Doyle Avenue Kelowna, BC, V1Y 6V8",308,(250) 862-4200,(250) 862-4201
"Hospital Location &
Address, Phone, Fax","Hospital Name,
Health Authority Address","Hosp
Code No.","Health Authority
Telephone","Health Authority
Fax"
"SURREY
13750 - 96th Ave V3V 1Z2
Ph:  (604) 581-2211
Fax:  (604) 588-3382","Surrey Memorial Hospital Fraser Health Authority Suite 400 Central City Tower 13450 - 102 Avenue
Surrey BC  V3T 0H1",116,(604) 587-4600,(604) 587-4666
"SURREY
9750 140th Street V3T 0G9
Ph: (604) 582-4550
Fax: (604) 582-3795","Jim Pattison Outpatient Care and Surgery Centre
Fraser Health Authority Suite 400 Central City Tower 13450 – 102 Avenue
Surrey BC  V3T 0H1",139,(604) 587-4600,(604) 587-4666
"TERRACE
4720 Haugland Ave V8G 2W7
Ph:  (250) 635-2211
Fax:  (250) 635-7639",Mills Memorial Hospital Northern Health Authority Suite 600 - 299 Victoria St Prince George BC  V2L 5B8,912,(250) 565-2649,(250) 565-2640
"TOFINO
(261 Neill St)
Box 190 V0R 2Z0
Ph:  (250) 725-4010","Tofino General Hospital Vancouver Island Health Authority
1952 Bay Street Victoria BC  V8R 1J8",854,(250) 370-8699,(250) 370-8750
"TRAIL
1200 Hospital Bench V1R 4M1
Ph:  (250) 368-3311
Fax:  (250) 364-3422","Kootenay Boundary Regional Hospital
Interior Health Authority Community Health and Services Centre
5th Floor 505 Doyle Avenue Kelowna, BC, V1Y 6V8",801,(250) 862-4200,(250) 862-4201
"VANCOUVER
600 West 10th Ave Vancouver BC V5Z 4E6
Ph:  (604) 877-6000
Fax: (604) 875-3333","British Columbia Cancer Agency
Provincial Health Services Authority
British Columbia Cancer Agency Branch
700 – 1380 Burrard St Vancouver, BC  V6Z 2H3",107,(604) 675-7400,(604) 708-2700
"VANCOUVER
4480 Oak St V6H 3N1
Ph:  (604) 875-2345
Fax:  (604) 875-3456 TOLL FREE LINE
1-888-300-3088","British Columbia's Children's Hospital
Provincial Health Services Authority
Children's & Women's Health Centre of British Columbia Branch
700 – 1380 Burrard St Vancouver, BC  V6Z 2H3",105,(604) 675-7400,(604) 708-2700
"Hospital Location &
Address, Phone, Fax","Hospital Name,
Health Authority Address","Hosp
Code No.","Health Authority
Telephone","Health Authority
Fax"
"VANCOUVER
4255 Laurel St V5Z 2G9
Ph:  (604) 734-1313
Fax:  (604) 737-6359","G.F. Strong Centre Vancouver Coastal Health Authority
11th floor - 601 W Broadway Vancouver BC  V5Z 4C2",119,(604) 736-2033,(604) 875-4750
"VANCOUVER
7801 Argyle St V5P 3L6
Ph:  (604) 321-2661
Fax  (604) 321-2696","Holy Family Hospital Dianne Doyle
President and Chief Executive Officer
Providence Health Care Society
c/o 1081 Burrard St Vancouver BC  V6Z 1Y6",118,(604) 806-8020,(604) 806-8811
"VANCOUVER
3080 Prince Edward St V5T 3N4
Ph:  (604) 874-1141
Fax: (604) 875-8733","Mount Saint Joseph Hospital Dianne Doyle
President and Chief Executive Officer
Providence Health Care Society
c/o 1081 Burrard St Vancouver BC  V6Z 1Y6",106,(604) 806-8020,(604) 806-8811
"VANCOUVER
700 West 57th V6P 1S1
Ph:  (604) 321-3231
Fax:  (604) 321-7833","George Pearson Centre Vancouver Coastal Health Authority
11th floor - 601 W Broadway Vancouver BC  V5Z 4C2",120,(604) 736-2033,(604) 875-4750
"VANCOUVER
1081 Burrard St V6Z 1Y6
Ph:  (604) 682-2344
Fax:  (604) 806-8811","St. Paul's Hospital Dianne Doyle
President and Chief Executive Officer
Providence Health Care Society
c/o 1081 Burrard St Vancouver BC  V6Z 1Y6",102,(604) 806-8020,(604) 806-8811
"Hospital Location &
Address, Phone, Fax","Hospital Name,
Health Authority Address","Hosp
Code No.","Health Authority
Telephone","Health Authority
Fax"
"VANCOUVER
3644 Slocan St V5M 3E8
Ph: (604) 453-8300
Fax: (604) 436-6520 TOLL FREE LINE
1-888-300-3088","Sunny Hill Health Centre for Children
Provincial Health Services Authority
Children's & Women's Health Centre of British Columbia Branch
#700 – 1380 Burrard St Vancouver, BC  V6Z 2H3",114,(604) 675-7400,(604) 708-2700
"VANCOUVER
4500 Oak St V6H 3N1
Ph: (604) 875-2424
Fax: (604) 875-2379 TOLL FREE LINE
1-888-300-3088","British Columbia's Women's Hospital and Health Care Centre
Provincial Health Services Authority
Children’s' & Women's Health Centre of British Columbia Branch
#700 – 1380 Burrard St Vancouver, BC  V6Z 2H3",104,(604) 675-7400,(604) 708-2700
"VANCOUVER
2211 Wesbrook Mall V6T 2B5
Ph:  (604) 822-7121
Fax:  (604) 822-7186","U.B.C. Health Sciences Centre Hospital Vancouver Coastal Health Authority
11th floor - 601 W Broadway Vancouver BC  V5Z 4C2",123,(604) 736-2033,(604) 875-4750
"VANCOUVER 855 W 12TH AVE V5Z 1M9
Ph:  (604) 875-4111
Fax:  (604) 875-4686","Vancouver General Hospital Vancouver Coastal Health Authority
11th floor - 601 W Broadway Vancouver BC  V5Z 4C2",101,(604) 736-2033,(604) 875-4750
"VANDERHOOF
3255 Hospital Rd
RR #2 V0J 3A0
Ph:  (250) 567-2211
Fax:  (250) 567-9713","St. John Hospital Northern Health Authority Suite 600 - 299 Victoria St
Prince George BC  V2L 5B8",702,(250) 565-2649,(250) 565-2640
"VERNON 2101 32nd St V1T 5L2
Ph:  (250) 545-2211
Fax:  (250) 545-5602","Vernon Jubilee Hospital Interior Health Authority Community Health and Services Centre
5th Floor 505 Doyle Avenue
Kelowna, BC, V1Y 6V8",301,(250) 862-4200,(250) 862
"VICTORIA
2400 Arbutus Rd V8N 1V7
Ph:  (250) 519-5390","Queen Alexandra Centre for Children's Health Vancouver Island Health Authority
1952 Bay Street Victoria BC  V8R 1J8",204,(250) 370-8699,(250) 370-8750
"Hospital Location &
Address, Phone, Fax","Hospital Name,
Health Authority Address","Hosp
Code No.","Health Authority
Telephone","Health Authority
Fax"
"VICTORIA
1952 Bay Street V8R 1J8
Ph:  (250) 370-8000
Fax:  (250) 370-8750","Royal Jubilee Hospital Vancouver Island Health Authority
1952 Bay Street Victoria BC  V8R 1J8",201,(250) 370-8699,(250) 370-8750
"VICTORIA
63 Gorge Rd E V9A 1L2
Ph:  (250) 519-5300
Fax:  (250) 370-8750","The Gorge Road Hospital Vancouver Island Health Authority
1952 Bay Street Victoria BC  V8R 1J8",211,(250) 370-8699,(250) 370-8750
"VICTORIA
#1 Hospital Way V8Z 6R5
Ph:  (250) 727-4212
Fax:  (250) 370-8804","Victoria General Hospital Vancouver Island Health Authority
1952 Bay Street Victoria BC  V8R 1J8",202,(250) 370-8699,(250) 370-8750
