city,postal_code,hospital_name,health_authority
MISSION,V2V 3H5,Mission Memorial Hospital,Fraser Health Authority
NAKUSP,V0G 1R0,Arrow Lakes Hospital,Interior Health Authority
NANAIMO,V9S 2B7,Nanaimo Regional General Hospital,Vancouver Island Health Authority
NELSON,V1L 2V1,Kootenay Lake Hospital,Interior Health Authority
NEW DENVER,V0G 1S0,Slocan Community Health Centre,Interior Health Authority
NEW WESTMINSTER,V3L 3W7,Royal Columbian Hospital,Fraser Health Authority
NORTH VANCOUVER ,V7L 2L7,Lions Gate Hospital,Vancouver Coastal Health Authority
OLIVER,V0H 1T0,South Okanagan General Hospital,Interior Health Authority
100 Mile House,V0K 2E0,100 Mile District General Hospital,Interior Health Authority
PENTICTON,V2A 3G6,Penticton Regional Hospital,Interior Health Authority
PORT ALBERNI,V9Y 4S1,West Coast General Hospital,Vancouver Island Health Authority
PORT ALICE,V0N 2N0,Port Alice Hospital,Vancouver Island Health Authority
PORT HARDY,V0N 2P0,Port Hardy Hospital,Vancouver Island Health Authority
PORT MCNEILL,V0N 2R0,Port McNeill and District Hospital,Vancouver Island Health Authority
PORT MOODY,V3H 3W9,Eagle Ridge Hospital & Health Care Centre,Fraser Health Authority
POWELL RIVER,V8A 5R3,Powell River General Hospital,Vancouver Coastal Health Authority
PRINCE GEORGE,V2M 1S2,The University Hospital of,Northern Health Authority
PRINCE RUPERT,V8J 2A6,Prince Rupert Regional Hospital,Northern Health Authority
PRINCETON,V0X 1W0,Princeton General Hospital,Interior Health Authority
VILLAGE OF,V0T 1S0,Haida Gwaii Hospital and Health Centre,Northern Health Authority
QUESNEL,V2J 2K7,G.R. Baker Memorial Hospital,Northern Health Authority
REVELSTOKE,V0E 2S0,Queen Victoria Hospital,Interior Health Authority
RICHMOND,V6X 1A2,Richmond Hospital,Vancouver Coastal Health Authority
SAANICHTON,V8M 2B2,Saanich Peninsula Hospital,Vancouver Island Health Authority
SALMON ARM,V1E 4N6,Shuswap Lake General Hospital,Interior Health Authority
SALT SPRING ISLAND,V8K 1T1,Lady Minto Gulf Islands Hospital,Vancouver Island Health Authority
SECHELT ,V0N 3A0,Sechelt Hospital/shíshálh Hospital,Vancouver Coastal Health Authority
SMITHERS,V0J 2N0,Bulkley Valley District Hospital,Northern Health Authority
SPARWOOD,V0B 2G0,Sparwood Health Centre,Interior Health Authority
SQUAMISH,V8B 0J3,Squamish General Hospital,Vancouver Coastal Health Authority
STEWART,V0T 1W0,Stewart General Hospital,Northern Health Authority
SUMMERLAND,V0H 1Z0,Summerland Memorial Health Centre,Interior Health Authority
SURREY,V3V 1Z2,Surrey Memorial Hospital,Fraser Health Authority
SURREY,V3T 0G9,Jim Pattison Outpatient Care and Surgery Centre,Fraser Health Authority
TERRACE,V8G 2W7,Mills Memorial Hospital,Northern Health Authority
TOFINO,V0R 2Z0,Tofino General Hospital,Vancouver Island Health Authority
TRAIL,V1R 4M1,Kootenay Boundary Regional Hospital,Interior Health Authority
VANCOUVER,V5Z 4E6,British Columbia Cancer Agency,Provincial Health Services Authority
VANCOUVER,V6H 3N1,British Columbia's Children's Hospital,Provincial Health Services Authority
VANCOUVER,V5Z 2G9,G.F. Strong Centre,Vancouver Coastal Health Authority
VANCOUVER,V5P 3L6,Holy Family Hospital Dianne Doyle,Providence Health Care Society
VANCOUVER,V5T 3N4,Mount Saint Joseph Hospital Dianne Doyle,Providence Health Care Society
VANCOUVER,V6P 1S1,George Pearson Centre,Vancouver Coastal Health Authority
VANCOUVER,V6Z 1Y6,St. Paul's Hospital Dianne Doyle,Providence Health Care Society
VANCOUVER,V5M 3E8,Sunny Hill Health Centre for Children,Provincial Health Services Authority
VANCOUVER,V6H 3N1,British Columbia's Women's Hospital and Health Care Centre,Provincial Health Services Authority
VANCOUVER,V6T 2B5,U.B.C. Health Sciences Centre Hospital,Vancouver Coastal Health Authority
VANCOUVER ,V5Z 1M9,Vancouver General Hospital,Vancouver Coastal Health Authority
VANDERHOOF,V0J 3A0,St. John Hospital,Northern Health Authority
VERNON ,V1T 5L2,Vernon Jubilee Hospital,Interior Health Authority
VICTORIA,V8N 1V7,Queen Alexandra Centre for Children's Health,Vancouver Island Health Authority
VICTORIA,V8R 1J8,Royal Jubilee Hospital,Vancouver Island Health Authority
VICTORIA,V9A 1L2,The Gorge Road Hospital,Vancouver Island Health Authority
VICTORIA,V8Z 6R5,Victoria General Hospital,Vancouver Island Health Authority
WHITE ROCK,V4B 2R4,Peace Arch District Hospital,Fraser Health Authority
WILLIAMS LAKE,V2G 2G8,Cariboo Memorial Hospital,Interior Health Authority
